timestamp,open,high,low,close,volume
2025-02-21 19:45:00,135.0485,135.0900,134.8600,135.0000,170870
2025-02-21 19:30:00,135.0200,135.0650,134.9492,135.0400,69525
2025-02-21 19:15:00,134.9300,135.0500,134.9000,135.0200,77059
2025-02-21 19:00:00,135.0300,135.2800,134.9000,134.9399,145917
2025-02-21 18:45:00,135.1500,135.1800,135.0000,135.0200,88961
2025-02-21 18:30:00,135.0500,135.1800,134.4300,135.1600,216417
2025-02-21 18:15:00,135.1400,135.2487,134.9900,135.0403,91303
2025-02-21 18:00:00,135.3001,135.3500,134.8899,135.1498,165487
2025-02-21 17:45:00,135.3800,135.6000,120.0700,135.3100,231751
2025-02-21 17:30:00,134.9600,142.0586,134.8500,135.3900,207548
2025-02-21 17:15:00,134.6900,141.0924,130.9476,134.9400,395356
2025-02-21 17:00:00,134.2400,134.7100,134.2000,134.6804,365467
2025-02-21 16:45:00,134.1900,134.2600,134.0500,134.2400,251726
2025-02-21 16:30:00,134.1600,134.4300,134.0700,134.1900,436657
2025-02-21 16:15:00,134.4300,134.4300,134.0400,134.1501,975271
2025-02-21 16:00:00,134.2700,136.8113,134.1200,134.1500,44222004
2025-02-21 15:45:00,134.5850,135.3700,134.2400,134.2700,16192485
2025-02-21 15:30:00,135.1000,135.2100,134.0300,134.5800,9388561
2025-02-21 15:15:00,135.1900,135.4100,134.9900,135.1000,6618560
2025-02-21 15:00:00,135.1050,135.6000,134.9200,135.1950,6261004
2025-02-21 14:45:00,135.0700,135.8500,134.7800,135.1099,6452385
2025-02-21 14:30:00,135.3850,136.2600,134.5800,135.0800,11054098
2025-02-21 14:15:00,136.9450,136.9800,135.3450,135.3900,7116653
2025-02-21 14:00:00,137.2000,137.3056,136.2000,136.9495,6197087
2025-02-21 13:45:00,137.4250,137.7000,137.0800,137.1900,3975624
2025-02-21 13:30:00,137.1700,138.0650,137.0000,137.4200,7681221
2025-02-21 13:15:00,136.8550,137.5400,136.8500,137.1700,6494969
2025-02-21 13:00:00,137.7500,137.7800,136.0600,136.8502,12830821
2025-02-21 12:45:00,138.5499,138.5700,137.6200,137.7500,5812608
2025-02-21 12:30:00,139.0000,139.0600,138.1001,138.5500,4744490
2025-02-21 12:15:00,139.2400,139.2500,138.3700,138.9911,5495938
2025-02-21 12:00:00,139.2600,139.8000,139.1610,139.2334,3836969
2025-02-21 11:45:00,139.0200,139.4500,138.8200,139.2600,3375491
2025-02-21 11:30:00,139.1900,139.4900,138.9400,139.0300,3014392
2025-02-21 11:15:00,139.2500,139.6288,138.9600,139.1992,4853216
2025-02-21 11:00:00,139.4800,139.7000,138.5500,139.2500,5461110
2025-02-21 10:45:00,138.7700,139.4898,138.7500,139.4898,5248692
2025-02-21 10:30:00,139.2300,139.7200,138.7400,138.7600,7812244
2025-02-21 10:15:00,140.1800,140.3500,138.9500,139.2300,6678567
2025-02-21 10:00:00,139.9700,140.5900,139.6000,140.1600,10170814
2025-02-21 09:45:00,139.9000,140.9400,139.7400,139.9500,8691365
2025-02-21 09:30:00,140.0400,141.4600,139.2500,139.8803,19156764
2025-02-21 09:15:00,140.3124,140.5000,139.9500,140.0100,532042
2025-02-21 09:00:00,140.5500,140.7900,140.2400,140.3100,506135
